order_id,supplier_name,part_number,part_description,order_date,promised_date,actual_delivery_date,quantity,unit_price,po_amount
PO-2021-011,Precision Thermal Co,CTRL-9998,Touch Screen Controller,2021-10-01,2021-11-12,2021-11-12,293,1235.99,362145.07
PO-2021-011,TitanForge LLC,HX-5530,Heat Exchanger - Heavy Duty,2021-10-03,2021-11-02,2021-11-01,237,1760.78,417304.86
PO-2021-011,APEX MFG,DAMPER-3305,"Pneumatic Damper 36""",2021-10-06,2021-11-03,2021-11-02,52,260.1,13525.2
PO-2021-011,AeroFlow Systems,BEARING-9910,Sealed Bearing Assembly,2021-10-09,2021-11-17,2021-11-17,262,85.91,22508.42
PO-2021-011,Apex Mfg,BEARING-9905,Heavy Duty Bearing Set,2021-10-12,2021-11-19,2021-11-18,288,80.5,23184.0
PO-2021-011,QuickFab Industries,BRKT-1005,Heavy Duty Mount - Aluminum,2021-10-15,2021-11-25,2021-12-10,468,19.79,9261.72
PO-2021-011,TitanForge LLC,CTRL-9985,PLC Control Module,2021-10-18,2021-11-19,2021-11-19,108,424.83,45881.64
PO-2021-011,APEX MFG,CTRL-9985,PLC Control Module,2021-10-21,2021-11-22,2021-11-21,157,421.14,66118.98
PO-2021-011,Apex Mfg,PANEL-8820,Stainless Control Panel,2021-10-24,2021-11-25,2021-11-24,242,276.01,66794.42
PO-2021-011,APEX MFG,HX-5520,Aluminum Heat Exchanger - 60x36,2021-10-27,2021-12-07,2021-12-07,263,1077.64,283419.32
PO-2021-011,APEX MFG,CTRL-9995,VFD Controller 10HP,2021-10-30,2021-12-11,2021-12-09,239,891.67,213109.13
PO-2021-021,Apex Mfg,HX-5512,Aluminum Heat Exchanger - 48x24,2021-11-02,2021-11-18,2021-11-16,18,868.53,15633.54
PO-2021-021,APEX Manufacturing Inc,SENSOR-4410,Humidity Sensor Module,2021-11-05,2021-11-29,2021-11-27,45,34.64,1558.8
PO-2021-021,TitanForge LLC,HX-5512,Aluminum Heat Exchanger - 48x24,2021-11-07,2021-12-17,2021-12-17,20,838.34,16766.8
PO-2021-021,APEX MFG,SENSOR-4420,Flow Sensor - Digital,2021-11-10,2021-12-21,2021-12-19,239,42.7,10205.3
PO-2021-021,Apex Manufacturing Inc,MOTOR-6634,3HP Fan Motor Assembly,2021-11-13,2021-12-14,2021-12-20,136,443.64,60335.04
PO-2021-021,Precision Thermal Co,FILTER-5510,HEPA Filter - Industrial,2021-11-16,2021-12-08,2021-12-08,243,64.51,15675.93
PO-2021-021,Stellar Metalworks,PANEL-8801,Control Panel Enclosure,2021-11-19,2021-12-19,2021-12-17,96,275.6,26457.6
PO-2021-021,Apex Mfg,FINS-7715,Copper Fins for Heat Exchanger,2021-11-22,2021-12-20,2021-12-20,1035,13.36,13827.6
PO-2021-021,APEX MFG,MOTOR-6634,3HP Fan Motor Assembly,2021-11-25,2021-12-17,2021-12-17,65,447.14,29064.1
PO-2021-021,APEX MFG,SENSOR-4420,Flow Sensor - Digital,2021-11-28,2022-01-10,2022-01-09,93,40.62,3777.66
PO-2021-032,AeroFlow Systems,SENSOR-4410,Humidity Sensor Module,2021-12-01,2022-01-09,2022-01-08,48,32.75,1572.0
PO-2021-032,Precision Thermal Co,CTRL-9995,VFD Controller 10HP,2021-12-04,2022-01-14,2022-01-12,48,877.55,42122.4
PO-2021-032,AeroFlow Systems,HX-5515,Copper Heat Exchanger Coil,2021-12-07,2022-01-10,2022-01-10,201,2207.23,443653.23
PO-2021-032,Stellar Metalworks,SENSOR-4405,Temperature Sensor Probe,2021-12-10,2022-01-08,2022-01-06,257,34.15,8776.55
PO-2021-032,Apex Mfg,FINS-7725,Heat Exchanger Fins,2021-12-13,2021-12-31,2021-12-30,738,9.56,7055.28
PO-2021-032,APEX Manufacturing Inc,FILTER-5510,HEPA Filter - Industrial,2021-12-15,2022-01-09,2022-01-09,59,65.5,3864.5
PO-2021-032,APEX MFG,SHAFT-2210,Stainless Drive Shaft,2021-12-18,2022-01-21,2022-01-26,132,47.27,6239.64
PO-2021-032,Apex Manufacturing Inc,HX-5520,Aluminum Heat Exchanger - 60x36,2021-12-21,2022-02-02,2022-02-01,287,1114.11,319749.57
PO-2021-032,QuickFab Industries,SENSOR-4405,Temperature Sensor Probe,2021-12-24,2022-01-14,2022-01-12,34,22.8,775.2
PO-2021-032,QuickFab Industries,FAN-2847,"24"" Axial Cooling Fan",2021-12-27,2022-01-11,2022-01-29,115,215.29,24758.35
PO-2021-032,Stellar Metalworks,BRKT-1001,Mounting Bracket - Steel,2021-12-30,2022-01-23,2022-01-30,317,11.44,3626.48
PO-2022-042,APEX Manufacturing Inc,CTRL-9995,VFD Controller 10HP,2022-01-02,2022-01-25,2022-01-24,97,854.82,82917.54
PO-2022-042,Apex Mfg,HX-5525,Copper Heat Exchanger - Custom,2022-01-05,2022-01-28,2022-01-27,52,1962.4,102044.8
PO-2022-042,APEX MFG,HX-5535,Copper Coil Heat Exchanger,2022-01-08,2022-02-02,2022-02-01,242,2515.46,608741.32
PO-2022-042,APEX Manufacturing Inc,LOUVER-6615,"Weather Louver 72""",2022-01-11,2022-01-26,2022-01-26,185,222.5,41162.5
PO-2022-042,AeroFlow Systems,SENSOR-4415,Pressure Transducer,2022-01-14,2022-02-27,2022-02-26,283,62.33,17639.39
PO-2022-042,Apex Manufacturing Inc,HX-5530,Heat Exchanger - Heavy Duty,2022-01-17,2022-02-06,2022-02-04,168,1830.8,307574.4
PO-2022-042,Stellar Metalworks,BRKT-1001,Mounting Bracket - Steel,2022-01-20,2022-02-10,2022-02-10,195,11.37,2217.15
PO-2022-042,QuickFab Industries,BRKT-1015,Heavy Mount - Galvanized,2022-01-22,2022-03-01,2022-03-01,360,18.35,6606.0
PO-2022-042,APEX Manufacturing Inc,HX-5540,Aluminum Heat Exchanger,2022-01-25,2022-02-21,2022-02-21,251,1401.61,351804.11
PO-2022-042,TitanForge LLC,BRKT-1020,Vibration Isolator Mount,2022-01-28,2022-03-13,2022-03-12,205,26.8,5494.0
PO-2022-042,APEX MFG,CTRL-9990,Master Control Board,2022-01-31,2022-02-27,2022-02-26,163,667.32,108773.16
PO-2022-053,APEX Manufacturing Inc,DAMPER-3310,"Electric Damper 48""",2022-02-03,2022-03-18,2022-03-16,284,276.37,78489.08
PO-2022-053,APEX Manufacturing Inc,HX-5540,Aluminum Heat Exchanger,2022-02-06,2022-03-19,2022-03-19,172,1409.75,242477.0
PO-2022-053,APEX MFG,LOUVER-6601,"Aluminum Louver Panel 48""",2022-02-09,2022-03-25,2022-03-23,276,85.58,23620.08
PO-2022-053,Precision Thermal Co,MOTOR-6634,3HP Fan Motor Assembly,2022-02-12,2022-03-01,2022-03-01,138,445.28,61448.64
PO-2022-053,APEX MFG,HX-5535,Copper Coil Heat Exchanger,2022-02-15,2022-03-08,2022-03-10,252,2517.62,634440.24
PO-2022-053,APEX Manufacturing Inc,MOTOR-6634,3HP Fan Motor Assembly,2022-02-18,2022-03-19,2022-03-19,70,455.67,31896.9
PO-2022-053,Apex Manufacturing Inc,MOTOR-6641,7.5HP Fan Motor,2022-02-21,2022-04-01,2022-03-31,55,837.81,46079.55
PO-2022-053,Precision Thermal Co,FILTER-5501,Air Filter - HEPA Grade,2022-02-24,2022-03-14,2022-03-12,208,66.43,13817.44
PO-2022-053,Apex Mfg,FINS-7712,Heat Exchanger Fins - Aluminum,2022-02-27,2022-03-21,2022-03-23,675,9.27,6257.25
PO-2022-063,TitanForge LLC,BRKT-1001,Mounting Bracket - Steel,2022-03-01,2022-04-06,2022-04-13,505,11.59,5852.95
PO-2022-063,APEX Manufacturing Inc,CTRL-9995,VFD Controller 10HP,2022-03-04,2022-04-15,2022-04-14,88,884.72,77855.36
PO-2022-063,Precision Thermal Co,BRKT-1015,Heavy Mount - Galvanized,2022-03-07,2022-03-23,2022-03-22,253,19.64,4968.92
PO-2022-063,AeroFlow Systems,HX-5520,Aluminum Heat Exchanger - 60x36,2022-03-10,2022-04-15,2022-04-15,30,1148.85,34465.5
PO-2022-063,TitanForge LLC,BEARING-9905,Heavy Duty Bearing Set,2022-03-13,2022-03-31,2022-03-30,175,65.08,11389.0
PO-2022-063,AeroFlow Systems,FINS-7725,Heat Exchanger Fins,2022-03-16,2022-03-31,2022-03-30,964,9.84,9485.76
PO-2022-063,APEX Manufacturing Inc,CTRL-9990,Master Control Board,2022-03-19,2022-04-25,2022-04-27,240,674.94,161985.6
PO-2022-063,Apex Mfg,HX-5512,Aluminum Heat Exchanger - 48x24,2022-03-22,2022-05-02,2022-05-02,262,879.55,230442.1
PO-2022-063,Precision Thermal Co,HX-5512,Aluminum Heat Exchanger - 48x24,2022-03-25,2022-04-18,2022-04-18,175,834.73,146077.75
PO-2022-063,APEX MFG,LOUVER-6615,"Weather Louver 72""",2022-03-28,2022-05-10,2022-05-10,209,222.62,46527.58
PO-2022-063,APEX MFG,PANEL-8810,Powder Coated Panel,2022-03-31,2022-04-28,2022-04-28,54,215.2,11620.8
PO-2022-073,APEX Manufacturing Inc,SHAFT-2201,Motor Drive Shaft - SS304,2022-04-03,2022-04-27,2022-04-25,537,40.67,21839.79
PO-2022-073,APEX Manufacturing Inc,SENSOR-4405,Temperature Sensor Probe,2022-04-06,2022-04-23,2022-04-26,146,25.71,3753.66
PO-2022-073,QuickFab Industries,SENSOR-4420,Flow Sensor - Digital,2022-04-08,2022-05-10,2022-06-13,24,39.72,953.28
PO-2022-073,Apex Manufacturing Inc,PANEL-8815,Aluminum Control Panel,2022-04-11,2022-05-14,2022-05-13,29,259.13,7514.77
PO-2022-073,Apex Mfg,FILTER-5505,Carbon Air Filter,2022-04-14,2022-05-04,2022-05-04,32,66.48,2127.36
PO-2022-073,Apex Manufacturing Inc,SHAFT-2210,Stainless Drive Shaft,2022-04-17,2022-05-25,2022-05-27,152,47.74,7256.48
PO-2022-073,Apex Manufacturing Inc,HX-5512,Aluminum Heat Exchanger - 48x24,2022-04-20,2022-05-17,2022-05-18,268,866.39,232192.52
PO-2022-073,TitanForge LLC,CTRL-9981,Digital Temperature Controller,2022-04-23,2022-05-14,2022-05-13,256,84.77,21701.12
PO-2022-073,AeroFlow Systems,FINS-7715,Copper Fins for Heat Exchanger,2022-04-26,2022-05-25,2022-05-24,1073,12.2,13090.6
PO-2022-073,APEX MFG,BRKT-1020,Vibration Isolator Mount,2022-04-29,2022-05-28,2022-05-28,174,28.31,4925.94
PO-2022-084,Apex Mfg,SENSOR-4420,Flow Sensor - Digital,2022-05-02,2022-05-21,2022-05-19,154,38.18,5879.72
PO-2022-084,QuickFab Industries,SHAFT-2201,Motor Drive Shaft - SS304,2022-05-05,2022-05-22,2022-06-23,523,38.2,19978.6
PO-2022-084,TitanForge LLC,FAN-2847,"24"" Axial Cooling Fan",2022-05-08,2022-05-26,2022-05-26,53,229.93,12186.29
PO-2022-084,Apex Mfg,FINS-7712,Heat Exchanger Fins - Aluminum,2022-05-11,2022-06-25,2022-06-24,516,8.56,4416.96
PO-2022-084,Stellar Metalworks,FINS-7712,Heat Exchanger Fins - Aluminum,2022-05-13,2022-06-15,2022-06-14,881,8.88,7823.28
PO-2022-084,TitanForge LLC,HX-5540,Aluminum Heat Exchanger,2022-05-16,2022-06-18,2022-06-17,260,1421.18,369506.8
PO-2022-084,AeroFlow Systems,BRKT-1020,Vibration Isolator Mount,2022-05-19,2022-06-16,2022-06-14,304,28.23,8581.92
PO-2022-084,AeroFlow Systems,HX-5512,Aluminum Heat Exchanger - 48x24,2022-05-22,2022-07-04,2022-07-02,61,810.1,49416.1
PO-2022-084,Apex Manufacturing Inc,SHAFT-2201,Motor Drive Shaft - SS304,2022-05-25,2022-06-25,2022-06-24,390,40.01,15603.9
PO-2022-084,QuickFab Industries,HX-5535,Copper Coil Heat Exchanger,2022-05-28,2022-06-13,2022-06-11,102,2536.2,258692.4
PO-2022-084,AeroFlow Systems,HX-5540,Aluminum Heat Exchanger,2022-05-31,2022-06-19,2022-06-19,21,1432.25,30077.25
PO-2022-094,Precision Thermal Co,HX-5515,Copper Heat Exchanger Coil,2022-06-03,2022-06-18,2022-06-17,280,2278.7,638036.0
PO-2022-094,Precision Thermal Co,PANEL-8815,Aluminum Control Panel,2022-06-06,2022-06-28,2022-06-27,38,256.05,9729.9
PO-2022-094,QuickFab Industries,FAN-2860,"36"" Axial Cooling Fan",2022-06-09,2022-07-14,2022-08-10,65,403.58,26232.7
PO-2022-094,Stellar Metalworks,FILTER-5505,Carbon Air Filter,2022-06-12,2022-07-01,2022-07-01,46,57.13,2627.98
PO-2022-094,Precision Thermal Co,SHAFT-2201,Motor Drive Shaft - SS304,2022-06-15,2022-07-28,2022-07-28,414,39.55,16373.7
PO-2022-094,Precision Thermal Co,SHAFT-2208,SS316 Drive Shaft,2022-06-18,2022-07-20,2022-07-19,547,50.96,27875.12
PO-2022-094,Apex Mfg,PANEL-8820,Stainless Control Panel,2022-06-20,2022-07-12,2022-07-12,228,282.04,64305.12
PO-2022-094,APEX Manufacturing Inc,MOTOR-6641,7.5HP Fan Motor,2022-06-23,2022-08-03,2022-08-03,104,786.31,81776.24
PO-2022-094,APEX Manufacturing Inc,FINS-7712,Heat Exchanger Fins - Aluminum,2022-06-26,2022-07-20,2022-07-18,737,9.93,7318.41
PO-2022-094,AeroFlow Systems,SENSOR-4420,Flow Sensor - Digital,2022-06-29,2022-08-03,2022-08-03,178,45.11,8029.58
PO-2022-105,Stellar Metalworks,FILTER-5501,Air Filter - HEPA Grade,2022-07-02,2022-08-12,2022-08-10,242,46.39,11226.38
PO-2022-105,TitanForge LLC,DAMPER-3310,"Electric Damper 48""",2022-07-05,2022-08-15,2022-08-13,238,284.17,67632.46
PO-2022-105,TitanForge LLC,FINS-7725,Heat Exchanger Fins,2022-07-08,2022-08-14,2022-08-12,1191,9.62,11457.42
PO-2022-105,QuickFab Industries,HX-5512,Aluminum Heat Exchanger - 48x24,2022-07-11,2022-08-17,2022-09-01,200,797.73,159546.0
PO-2022-105,QuickFab Industries,BRKT-1015,Heavy Mount - Galvanized,2022-07-14,2022-08-24,2022-08-22,239,22.55,5389.45
PO-2022-105,Stellar Metalworks,BRKT-1001,Mounting Bracket - Steel,2022-07-17,2022-08-28,2022-08-28,225,11.86,2668.5
PO-2022-105,Stellar Metalworks,DAMPER-3301,"Motorized Air Damper 24""",2022-07-20,2022-08-31,2022-08-29,78,182.28,14217.84
PO-2022-105,Apex Mfg,BRKT-1015,Heavy Mount - Galvanized,2022-07-23,2022-08-20,2022-08-19,227,21.46,4871.42
PO-2022-105,Apex Manufacturing Inc,BRKT-1020,Vibration Isolator Mount,2022-07-26,2022-08-20,2022-08-19,371,25.54,9475.34
PO-2022-105,APEX MFG,LOUVER-6605,"Louver with Screen 60""",2022-07-28,2022-08-19,2022-08-18,266,119.75,31853.5
PO-2022-105,Apex Manufacturing Inc,PANEL-8815,Aluminum Control Panel,2022-07-31,2022-09-04,2022-09-05,128,255.45,32697.6
PO-2022-115,APEX Manufacturing Inc,HX-5515,Copper Heat Exchanger Coil,2022-08-03,2022-08-26,2022-08-25,135,1989.74,268614.9
PO-2022-115,QuickFab Industries,SHAFT-2205,Drive Shaft - Hardened Steel,2022-08-06,2022-08-28,2022-09-30,436,39.95,17418.2
PO-2022-115,APEX MFG,FAN-2850,"30"" Axial Cooling Fan",2022-08-09,2022-08-28,2022-08-26,94,307.29,28885.26
PO-2022-115,Precision Thermal Co,FINS-7712,Heat Exchanger Fins - Aluminum,2022-08-12,2022-09-08,2022-09-06,1195,8.79,10504.05
PO-2022-115,TitanForge LLC,FINS-7720,Aluminum Fins - Thin Wall,2022-08-15,2022-09-17,2022-09-17,1195,9.16,10946.2
PO-2022-115,QuickFab Industries,FINS-7715,Copper Fins for Heat Exchanger,2022-08-18,2022-09-06,2022-09-30,1131,14.47,16365.57
PO-2022-115,TitanForge LLC,HX-5530,Heat Exchanger - Heavy Duty,2022-08-21,2022-09-17,2022-09-15,266,1833.29,487655.14
PO-2022-115,Stellar Metalworks,BRKT-1020,Vibration Isolator Mount,2022-08-24,2022-09-28,2022-09-28,537,27.14,14574.18
PO-2022-115,APEX MFG,DAMPER-3310,"Electric Damper 48""",2022-08-27,2022-09-17,2022-09-16,185,284.27,52589.95
PO-2022-115,APEX MFG,MOTOR-6645,10HP Fan Motor,2022-08-30,2022-09-14,2022-09-14,108,1121.71,121144.68
PO-2022-126,Apex Manufacturing Inc,SENSOR-4405,Temperature Sensor Probe,2022-09-02,2022-10-04,2022-10-03,297,31.89,9471.33
PO-2022-126,AeroFlow Systems,HX-5525,Copper Heat Exchanger - Custom,2022-09-04,2022-09-22,2022-09-23,245,2074.77,508318.65
PO-2022-126,APEX MFG,CTRL-9995,VFD Controller 10HP,2022-09-07,2022-09-25,2022-09-25,177,869.57,153913.89
PO-2022-126,Apex Manufacturing Inc,HX-5530,Heat Exchanger - Heavy Duty,2022-09-10,2022-10-02,2022-09-30,207,1858.39,384686.73
PO-2022-126,TitanForge LLC,FINS-7725,Heat Exchanger Fins,2022-09-13,2022-10-15,2022-10-15,1041,9.44,9827.04
PO-2022-126,APEX Manufacturing Inc,SHAFT-2208,SS316 Drive Shaft,2022-09-16,2022-10-22,2022-10-22,592,49.52,29315.84
PO-2022-126,Apex Mfg,HX-5515,Copper Heat Exchanger Coil,2022-09-19,2022-10-29,2022-10-27,146,1635.52,238785.92
PO-2022-126,Apex Mfg,PANEL-8810,Powder Coated Panel,2022-09-22,2022-11-02,2022-11-07,56,225.27,12615.12
PO-2022-126,QuickFab Industries,FINS-7712,Heat Exchanger Fins - Aluminum,2022-09-25,2022-11-01,2022-10-30,758,9.75,7390.5
PO-2022-126,TitanForge LLC,PANEL-8805,Electrical Panel - Stainless,2022-09-28,2022-10-17,2022-10-16,37,264.21,9775.77
PO-2022-136,APEX Manufacturing Inc,SENSOR-4410,Humidity Sensor Module,2022-10-01,2022-10-21,2022-10-20,98,33.07,3240.86
PO-2022-136,Precision Thermal Co,FAN-2847,"24"" Axial Cooling Fan",2022-10-04,2022-11-07,2022-11-05,98,241.03,23620.94
PO-2022-136,AeroFlow Systems,DAMPER-3310,"Electric Damper 48""",2022-10-07,2022-11-03,2022-11-02,79,282.81,22341.99
PO-2022-136,AeroFlow Systems,HX-5515,Copper Heat Exchanger Coil,2022-10-10,2022-11-24,2022-11-23,47,2329.1,109467.7
PO-2022-136,Stellar Metalworks,BRKT-1010,Adjustable Mount Bracket,2022-10-12,2022-11-07,2022-11-05,277,16.79,4650.83
PO-2022-136,APEX MFG,SENSOR-4415,Pressure Transducer,2022-10-15,2022-11-04,2022-11-04,188,64.18,12065.84
PO-2022-136,APEX MFG,BRKT-1020,Vibration Isolator Mount,2022-10-18,2022-11-11,2022-11-10,254,26.27,6672.58
PO-2022-136,Apex Mfg,BEARING-9905,Heavy Duty Bearing Set,2022-10-21,2022-11-16,2022-11-16,211,71.43,15071.73
PO-2022-136,APEX MFG,FAN-2847,"24"" Axial Cooling Fan",2022-10-24,2022-11-24,2022-11-22,42,233.64,9812.88
PO-2022-136,Apex Mfg,CTRL-9995,VFD Controller 10HP,2022-10-27,2022-12-09,2022-12-07,248,861.33,213609.84
PO-2022-136,Stellar Metalworks,HX-5525,Copper Heat Exchanger - Custom,2022-10-30,2022-12-01,2022-12-04,200,2004.93,400986.0
PO-2022-146,Stellar Metalworks,SHAFT-2210,Stainless Drive Shaft,2022-11-02,2022-11-30,2022-11-29,594,51.96,30864.24
PO-2022-146,Precision Thermal Co,PANEL-8810,Powder Coated Panel,2022-11-05,2022-11-26,2022-11-26,164,234.39,38439.96
PO-2022-146,Precision Thermal Co,PANEL-8801,Control Panel Enclosure,2022-11-08,2022-12-15,2022-12-13,162,263.5,42687.0
PO-2022-146,Precision Thermal Co,PANEL-8801,Control Panel Enclosure,2022-11-11,2022-11-27,2022-12-01,56,277.09,15517.04
PO-2022-146,TitanForge LLC,PANEL-8801,Control Panel Enclosure,2022-11-14,2022-12-01,2022-12-01,169,274.88,46454.72
PO-2022-146,AeroFlow Systems,FINS-7725,Heat Exchanger Fins,2022-11-17,2022-12-29,2022-12-29,830,9.92,8233.6
PO-2022-146,APEX MFG,BEARING-9905,Heavy Duty Bearing Set,2022-11-19,2022-12-27,2022-12-27,81,66.18,5360.58
PO-2022-146,APEX MFG,MOTOR-6634,3HP Fan Motor Assembly,2022-11-22,2022-12-31,2022-12-31,121,464.6,56216.6
PO-2022-146,APEX MFG,FINS-7725,Heat Exchanger Fins,2022-11-25,2023-01-02,2023-01-01,1064,9.8,10427.2
PO-2022-146,APEX Manufacturing Inc,CTRL-9990,Master Control Board,2022-11-28,2022-12-29,2022-12-28,191,627.63,119877.33
PO-2022-157,Apex Mfg,MOTOR-6638,5HP Fan Motor Assembly,2022-12-01,2023-01-12,2023-01-11,86,578.55,49755.3
PO-2022-157,Apex Mfg,FAN-2860,"36"" Axial Cooling Fan",2022-12-04,2023-01-14,2023-01-13,103,397.25,40916.75
PO-2022-157,Apex Mfg,MOTOR-6645,10HP Fan Motor,2022-12-07,2023-01-06,2023-01-09,108,1120.42,121005.36
PO-2022-157,Apex Mfg,BRKT-1020,Vibration Isolator Mount,2022-12-10,2023-01-14,2023-01-14,519,25.59,13281.21
PO-2022-157,Apex Manufacturing Inc,CTRL-9998,Touch Screen Controller,2022-12-13,2023-01-18,2023-01-16,45,1231.32,55409.4
PO-2022-157,TitanForge LLC,DAMPER-3310,"Electric Damper 48""",2022-12-16,2023-01-03,2023-01-01,271,282.79,76636.09
PO-2022-157,TitanForge LLC,BEARING-9915,Pillow Block Bearing,2022-12-19,2023-01-17,2023-01-15,65,97.5,6337.5
PO-2022-157,Stellar Metalworks,HX-5515,Copper Heat Exchanger Coil,2022-12-22,2023-01-19,2023-01-19,249,1973.8,491476.2
PO-2022-157,Precision Thermal Co,FAN-2855,"28"" Axial Fan - High CFM",2022-12-24,2023-01-15,2023-01-13,120,365.15,43818.0
PO-2022-157,QuickFab Industries,CTRL-9995,VFD Controller 10HP,2022-12-27,2023-01-16,2023-01-31,205,861.84,176677.2
PO-2022-157,Apex Mfg,CTRL-9990,Master Control Board,2022-12-30,2023-01-24,2023-01-24,256,669.79,171466.24
PO-2023-167,QuickFab Industries,PANEL-8815,Aluminum Control Panel,2023-01-02,2023-01-24,2023-02-17,86,263.43,22654.98
PO-2023-167,APEX MFG,FILTER-5510,HEPA Filter - Industrial,2023-01-05,2023-02-05,2023-02-05,209,66.37,13871.33
PO-2023-167,APEX MFG,FINS-7712,Heat Exchanger Fins - Aluminum,2023-01-08,2023-02-20,2023-02-20,608,8.25,5016.0
PO-2023-167,APEX Manufacturing Inc,CTRL-9985,PLC Control Module,2023-01-11,2023-02-17,2023-02-20,291,427.64,124443.24
PO-2023-167,TitanForge LLC,SHAFT-2205,Drive Shaft - Hardened Steel,2023-01-14,2023-02-11,2023-02-11,432,41.01,17716.32
PO-2023-167,TitanForge LLC,PANEL-8801,Control Panel Enclosure,2023-01-17,2023-02-02,2023-02-01,67,261.61,17527.87
PO-2023-167,Stellar Metalworks,PANEL-8801,Control Panel Enclosure,2023-01-20,2023-02-27,2023-02-27,124,227.29,28183.96
PO-2023-167,APEX MFG,HX-5535,Copper Coil Heat Exchanger,2023-01-23,2023-02-24,2023-02-23,266,2483.32,660563.12
PO-2023-167,QuickFab Industries,FINS-7712,Heat Exchanger Fins - Aluminum,2023-01-26,2023-03-06,2023-04-01,1034,9.05,9357.7
